yearmonth,IUCR,Primary Type,Description,FBI Code,count
2008-10,0840,THEFT,FINANCIAL ID THEFT: OVER $300,06,291
2004-05,1790,OFFENSE INVOLVING CHILDREN,CHILD ABDUCTION,26,1
2001-03,2024,NARCOTICS,POSS: HEROIN(WHITE),18,790
2001-03,0492,RITUALISM,AGG RITUAL MUT:KNIFE/CUTTING I,04B,1
2001-04,141C,WEAPONS VIOLATION,UNLAWFUL USE OTHER DANG WEAPON,15,58
2001-01,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),18,105
2017-05,0110,HOMICIDE,FIRST DEGREE MURDER,01A,57
2001-02,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,08A,14
2001-04,4650,OTHER OFFENSE,SEX OFFENDER: FAIL TO REGISTER,26,27
2001-06,1525,PROSTITUTION,PATRONIZING A PROSTITUTE,16,9
2001-05,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,20,13
2001-05,0550,ASSAULT,AGGRAVATED PO: HANDGUN,04A,1
2001-08,0320,ROBBERY,STRONGARM - NO WEAPON,03,603
2001-08,3100,PUBLIC PEACE VIOLATION,MOB ACTION,24,4
2001-09,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,26,4
2001-09,041B,BATTERY,AGGRAVATED: OTHER FIREARM,04B,46
2001-11,2820,OTHER OFFENSE,TELEPHONE THREAT,26,761
2001-08,4220,KIDNAPPING,AGGRAVATED,26,6
2001-10,4230,KIDNAPPING,UNLAWFUL RESTRAINT,26,5
2001-08,1580,SEX OFFENSE,SEX RELATION IN FAMILY,17,1
2002-02,1792,KIDNAPPING,CHILD ABDUCTION/STRANGER,20,13
2023-09,2021,NARCOTICS,POSSESS - BARBITURATES,18,6
2023-06,1120,DECEPTIVE PRACTICE,FORGERY,10,110
2019-04,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02,6
2022-01,1195,DECEPTIVE PRACTICE,FINANCIAL EXPLOITATION OF AN ELDERLY OR DISABLED PERSON,11,8
2023-01,0110,HOMICIDE,FIRST DEGREE MURDER,01A,44
2023-10,3970,INTIMIDATION,EXTORTION,26,14
2023-10,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15,3
2004-05,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,2
2001-05,0820,THEFT,$500 AND UNDER,06,5150
2022-12,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,11,143
2022-01,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11,19
2008-07,0820,THEFT,$500 AND UNDER,06,2911
2023-11,0488,BATTERY,AGGRAVATED DOMESTIC BATTERY - HANDGUN,04B,1
2018-08,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,6
2022-07,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,10
2018-08,0810,THEFT,OVER $500,06,1596
2011-05,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,11,9
2020-01,0560,ASSAULT,SIMPLE,08A,1005
2020-04,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,26,120
2019-03,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,217
2020-12,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,19
2016-10,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,1
2022-12,1540,OBSCENITY,OBSCENE MATTER,26,4
2022-04,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,04A,78
2014-10,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,2
2003-07,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,3836
2009-12,0460,BATTERY,SIMPLE,08B,1406
2009-11,0840,THEFT,FINANCIAL ID THEFT: OVER $300,06,195
2012-09,0810,THEFT,OVER $500,06,1491
2001-02,1205,DECEPTIVE PRACTICE,"THEFT BY LESSEE,NON-VEH",11,3
2001-03,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,18,138
2001-01,2110,NARCOTICS,POS: HYPODERMIC NEEDLE,18,30
2001-02,2091,NARCOTICS,FORFEIT PROPERTY,26,35
2001-04,2021,NARCOTICS,POSS: BARBITUATES,18,5
2001-03,2013,NARCOTICS,MANU/DELIVER: HEROIN(BRN/TAN),18,2
2001-03,1541,OBSCENITY,SALE/DIST OBSCENE MAT TO MINOR,17,1
2001-04,1235,DECEPTIVE PRACTICE,UNLAWFUL USE OF RECORDED SOUND,11,2
2001-07,5004,SEX OFFENSE,ATT CRIM SEXUAL ABUSE,17,8
2001-06,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,05,116
2001-07,2820,OTHER OFFENSE,TELEPHONE THREAT,26,806
2001-06,0261,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - HANDGUN,02,1
2001-06,0552,ASSAULT,AGGRAVATED PO:KNIFE/CUT INSTR,04A,2
2001-08,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,08B,34
2002-01,1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,20,3
2023-09,2022,NARCOTICS,POSSESS - COCAINE,18,30
2023-11,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,26,94
2023-09,1565,SEX OFFENSE,INDECENT SOLICITATION OF A CHILD,17,2
2023-11,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,04A,9
2023-06,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,6
2004-04,1330,CRIMINAL TRESPASS,TO LAND,26,797
2020-12,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,150
2017-08,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,399
2021-07,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,02,21
2022-08,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02,8
2023-10,0337,ROBBERY,ATTEMPT ARMED - OTHER DANGEROUS WEAPON,03,8
2023-10,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,18,5
2023-03,0620,BURGLARY,UNLAWFUL ENTRY,05,189
2022-09,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,17,47
2022-11,0580,STALKING,SIMPLE,08A,35
2022-12,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,04A,72
2022-12,1360,CRIMINAL TRESPASS,TO VEHICLE,26,34
2023-02,1120,DECEPTIVE PRACTICE,FORGERY,10,91
2023-07,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,03,20
2002-02,0560,ASSAULT,SIMPLE,08A,1509
2020-07,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,11,30
2023-12,1540,OBSCENITY,OBSCENE MATTER,26,5
2008-01,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,4
2003-05,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,03,1
2023-01,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,18,13
2018-12,0810,THEFT,OVER $500,06,1356
2024-02,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15,1
2012-09,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,51
2017-03,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,11,170
2020-12,4650,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER,26,8
2017-05,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,259
2020-09,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,26,97
2002-05,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,26,265
2005-12,0560,ASSAULT,SIMPLE,08A,1198
2006-02,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,11,9
2015-03,0810,THEFT,OVER $500,06,852
2015-10,0810,THEFT,OVER $500,06,1211
2016-02,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,30
2018-07,0810,THEFT,OVER $500,06,1401
2019-01,0890,THEFT,FROM BUILDING,06,864
2003-03,0890,THEFT,FROM BUILDING,06,1659
2007-10,0460,BATTERY,SIMPLE,08B,2608
2010-07,0560,ASSAULT,SIMPLE,08A,1466
2001-04,0313,ROBBERY,ARMED: OTHER DANGEROUS WEAPON,03,78
2001-03,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,26,19
2008-01,0110,HOMICIDE,FIRST DEGREE MURDER,01A,34
2001-04,0842,THEFT,AGG: FINANCIAL ID THEFT,06,16
2001-02,2030,NARCOTICS,MANU/DELIVER:LOOK-ALIKE DRUG,18,1
2001-06,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,26,264
2001-08,051A,ASSAULT,AGGRAVATED: HANDGUN,04A,316
2001-09,2040,NARCOTICS,POSS: LOOK-ALIKE DRUGS,18,3
2001-10,1450,WEAPONS VIOLATION,DEFACE IDENT MARKS OF FIREARM,15,1
2023-09,4230,KIDNAPPING,UNLAWFUL RESTRAINT,26,1
2008-07,0610,BURGLARY,FORCIBLE ENTRY,05,1685
2023-06,0320,ROBBERY,STRONG ARM - NO WEAPON,03,172
2023-10,0460,BATTERY,SIMPLE,08B,1353
2021-01,0550,ASSAULT,AGGRAVATED POLICE OFFICER - HANDGUN,04A,5
2021-11,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,144
2017-05,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,12
2023-02,1320,CRIMINAL DAMAGE,TO VEHICLE,14,1022
2015-01,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,4
2023-11,4220,KIDNAPPING,AGGRAVATED,26,2
2012-01,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,115
2022-04,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,11
2023-12,0650,BURGLARY,HOME INVASION,05,27
2022-07,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,11,191
2023-12,1791,OFFENSE INVOLVING CHILDREN,HARBOR RUNAWAY,20,1
2024-02,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,18
2020-12,0560,ASSAULT,SIMPLE,08A,779
2020-08,1156,DECEPTIVE PRACTICE,ATTEMPT - FINANCIAL IDENTITY THEFT,11,60
2021-09,0820,THEFT,$500 AND UNDER,06,1494
2017-02,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,2
2019-07,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,6
2021-12,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,37
2022-02,0890,THEFT,FROM BUILDING,06,347
2019-11,1210,DECEPTIVE PRACTICE,THEFT OF LABOR / SERVICES,11,1
2016-11,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,1874
2009-04,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,11,251
2011-09,0810,THEFT,OVER $500,06,1311
2013-10,1310,CRIMINAL DAMAGE,TO PROPERTY,14,1226
2014-02,0810,THEFT,OVER $500,06,809
2001-01,2250,LIQUOR LAW VIOLATION,LIQUOR LICENSE VIOLATION,22,34
2001-03,1360,CRIMINAL TRESPASS,TO VEHICLE,26,53
2001-01,0271,CRIM SEXUAL ASSAULT,ATTEMPT AGG: HANDGUN,02,1
2001-06,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,02,69
2001-06,2090,NARCOTICS,ALTER/FORGE PRESCRIPTION,18,22
2001-07,0266,CRIM SEXUAL ASSAULT,PREDATORY,02,8
2001-09,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),18,20
2001-10,143C,WEAPONS VIOLATION,UNLAWFUL POSS AMMUNITION,15,7
2001-10,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,26,4
2002-02,1590,SEX OFFENSE,ATT AGG CRIMINAL SEXUAL ABUSE,17,2
2001-11,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,20,6
2021-09,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,145
2021-08,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,1779
2023-10,1220,DECEPTIVE PRACTICE,THEFT OF LOST / MISLAID PROPERTY,11,35
2015-07,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02,7
2019-04,4651,OTHER OFFENSE,SEX OFFENDER - FAIL TO REGISTER NEW ADDRESS,26,1
2019-09,1120,DECEPTIVE PRACTICE,FORGERY,10,39
2016-02,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,536
2022-12,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,11,23
2013-06,1751,OFFENSE INVOLVING CHILDREN,CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,5
2024-01,041A,BATTERY,AGGRAVATED - HANDGUN,04B,90
2022-05,0820,THEFT,$500 AND UNDER,06,1622
2021-11,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,04B,143
2003-02,0313,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,03,2
2022-05,0320,ROBBERY,STRONG ARM - NO WEAPON,03,178
2019-09,1812,NARCOTICS,POSSESS - CANNABIS MORE THAN 30 GRAMS,18,13
2011-06,0620,BURGLARY,UNLAWFUL ENTRY,05,693
2021-01,1310,CRIMINAL DAMAGE,TO PROPERTY,14,889
2017-05,1581,SEX OFFENSE,NON-CONSENSUAL DISSEMINATION OF PRIVATE SEXUAL IMAGES,17,1
2021-09,2024,NARCOTICS,POSSESS - HEROIN (WHITE),18,46
2021-11,1261,DECEPTIVE PRACTICE,UNAUTHORIZED VIDEOTAPING,11,14
2022-08,1330,CRIMINAL TRESPASS,TO LAND,26,196
2022-07,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,46
2006-11,1752,OFFENSE INVOLVING CHILDREN,AGGRAVATED CRIMINAL SEXUAL ABUSE BY FAMILY MEMBER,17,2
2008-12,1330,CRIMINAL TRESPASS,TO LAND,26,581
2009-03,1320,CRIMINAL DAMAGE,TO VEHICLE,14,1891
2016-06,0870,THEFT,POCKET-PICKING,06,173
2001-01,1570,SEX OFFENSE,PUBLIC INDECENCY,17,58
2001-04,1549,PROSTITUTION,OTHER PROSTITUTION OFFENSE,16,1
2001-01,2851,PUBLIC PEACE VIOLATION,ARSON THREAT,26,29
2001-05,0484,BATTERY,PRO EMP HANDS NO/MIN INJURY,08B,13
2001-06,1220,DECEPTIVE PRACTICE,THEFT OF LOST/MISLAID PROP,11,58
2001-07,0261,CRIM SEXUAL ASSAULT,AGGRAVATED: HANDGUN,02,19
2001-06,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,10,10
2001-04,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,16,1
2001-08,1151,DECEPTIVE PRACTICE,ILLEGAL POSSESSION CASH CARD,11,5
2001-08,0275,CRIM SEXUAL ASSAULT,ATTEMPT AGG: OTHER,02,1
2001-12,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11,256
2002-01,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",07,18
2023-11,031A,ROBBERY,ARMED - HANDGUN,03,555
2023-09,0553,ASSAULT,AGGRAVATED POLICE OFFICER - OTHER DANGEROUS WEAPON,04A,6
2023-11,1460,WEAPONS VIOLATION,POSSESS FIREARM / AMMUNITION - NO FOID CARD,15,3
2022-12,051A,ASSAULT,AGGRAVATED - HANDGUN,04A,371
2023-08,0520,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,04A,159
2023-10,1822,NARCOTICS,MANUFACTURE / DELIVER - CANNABIS OVER 10 GRAMS,18,40
2018-09,1754,OFFENSE INVOLVING CHILDREN,AGGRAVATED SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,4
2015-12,0320,ROBBERY,STRONG ARM - NO WEAPON,03,2
2002-02,031A,ROBBERY,ARMED: HANDGUN,03,400
2020-12,1585,SEX OFFENSE,OTHER,17,4
2023-06,0275,CRIMINAL SEXUAL ASSAULT,ATTEMPT AGGRAVATED - OTHER,02,2
2023-08,2017,NARCOTICS,MANUFACTURE / DELIVER - CRACK,18,7
2023-12,0461,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",04B,7
2020-06,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,03,14
2004-05,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,04B,1
2006-01,0266,CRIMINAL SEXUAL ASSAULT,PREDATORY,02,7
2023-12,1753,OFFENSE INVOLVING CHILDREN,SEXUAL ASSAULT OF CHILD BY FAMILY MEMBER,02,2
2024-01,2170,NARCOTICS,POSSESSION OF DRUG EQUIPMENT,18,7
2024-01,0461,BATTERY,"AGGRAVATED P.O. - HANDS, FISTS, FEET, SERIOUS INJURY",04B,11
2008-04,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,03,2
2017-08,0810,THEFT,OVER $500,06,1517
2018-11,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,24,6
2021-11,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,11,150
2008-05,0560,ASSAULT,SIMPLE,08A,1731
2011-12,1365,CRIMINAL TRESPASS,TO RESIDENCE,26,96
2001-04,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,26,237
2001-01,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,11,158
2012-01,0110,HOMICIDE,FIRST DEGREE MURDER,01A,42
2004-03,0110,HOMICIDE,FIRST DEGREE MURDER,01A,43
2011-01,0110,HOMICIDE,FIRST DEGREE MURDER,01A,28
2001-04,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,04A,4
2001-03,2251,LIQUOR LAW VIOLATION,EMPLOY MINOR,22,1
2001-06,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,26,230
2001-05,0935,MOTOR VEHICLE THEFT,"THEFT/RECOVERY: TRUCK,BUS,MHOME",07,36
2001-05,4230,KIDNAPPING,UNLAWFUL RESTRAINT,26,10
2001-06,0545,ASSAULT,PRO EMP HANDS NO/MIN INJURY,08A,4
2001-06,0482,BATTERY,AGG PRO.EMP:KNIFE/CUTTING INST,04B,1
2001-10,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,11,226
2001-10,2900,WEAPONS VIOLATION,UNLAWFUL USE/SALE AIR RIFLE,15,49
2001-11,0840,THEFT,FINANCIAL ID THEFT: OVER $300,06,259
2001-08,2830,OTHER OFFENSE,OBSCENE TELEPHONE CALLS,17,47
2002-02,1340,CRIMINAL DAMAGE,TO STATE SUP PROP,14,43
2002-02,1670,GAMBLING,GAME/AMUSEMENT DEVICE,19,9
2001-12,2023,NARCOTICS,POSS: HEROIN(BRN/TAN),18,13
2001-11,0486,BATTERY,DOMESTIC BATTERY SIMPLE,08B,7
2001-12,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,20,5
2001-11,1670,GAMBLING,GAME/AMUSEMENT DEVICE,19,9
2023-08,1206,DECEPTIVE PRACTICE,"THEFT BY LESSEE, MOTOR VEHICLE",11,28
2023-11,1020,ARSON,BY FIRE,09,27
2023-09,0312,ROBBERY,ARMED - KNIFE / CUTTING INSTRUMENT,03,37
2023-03,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,354
2023-11,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,71
2023-03,2027,NARCOTICS,POSSESS - CRACK,18,48
2022-02,0820,THEFT,$500 AND UNDER,06,1110
2023-03,2014,NARCOTICS,MANUFACTURE / DELIVER -  HEROIN (WHITE),18,14
2023-11,1710,OFFENSE INVOLVING CHILDREN,ENDANGERING LIFE / HEALTH OF CHILD,20,18
2023-11,5111,OTHER OFFENSE,GUN OFFENDER - ANNUAL REGISTRATION,26,22
2021-02,1120,DECEPTIVE PRACTICE,FORGERY,10,34
2015-02,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,429
2023-11,0584,STALKING,VIOLATION OF STALKING NO CONTACT ORDER,26,4
2022-12,5001,OTHER OFFENSE,OTHER CRIME INVOLVING PROPERTY,26,21
2022-06,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,07,1008
2024-01,0915,MOTOR VEHICLE THEFT,"TRUCK, BUS, MOTOR HOME",07,3
2023-05,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,49
2008-02,0320,ROBBERY,STRONG ARM - NO WEAPON,03,2
2021-08,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,04B,195
2023-05,2027,NARCOTICS,POSSESS - CRACK,18,40
2008-08,031A,ROBBERY,ARMED - HANDGUN,03,2
2010-07,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,26
2020-12,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,26,186
2002-01,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,4
2016-01,0860,THEFT,RETAIL THEFT,06,710
2007-09,0860,THEFT,RETAIL THEFT,06,864
2011-11,0820,THEFT,$500 AND UNDER,06,2357
2012-07,0560,ASSAULT,SIMPLE,08A,1371
2020-01,0110,HOMICIDE,FIRST DEGREE MURDER,01A,36
2007-06,0110,HOMICIDE,FIRST DEGREE MURDER,01A,47
2010-09,0110,HOMICIDE,FIRST DEGREE MURDER,01A,31
2001-01,1195,DECEPTIVE PRACTICE,FINAN EXPLOIT-ELDERLY/DISABLED,11,11
2001-03,2012,NARCOTICS,MANU/DELIVER:COCAINE,18,15
2001-06,2860,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,24,11
2001-06,3100,PUBLIC PEACE VIOLATION,MOB ACTION,24,5
2001-11,0273,CRIM SEXUAL ASSAULT,ATTEMPT AGG: KNIFE/CUT INSTR,02,5
2001-11,3960,INTIMIDATION,INTIMIDATION,26,19
2002-01,2014,NARCOTICS,MANU/DELIVER: HEROIN (WHITE),18,158
2002-02,2026,NARCOTICS,POSS: PCP,18,24
2002-01,1512,PROSTITUTION,SOLICIT FOR PROSTITUTE,16,1
2002-02,1611,GAMBLING,BOOKMAKING/SPORTS,19,1
2023-09,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,10,15
2023-09,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST / OBSTRUCT / DISARM OFFICER,24,22
2023-09,1110,DECEPTIVE PRACTICE,BOGUS CHECK,11,28
2023-09,0475,BATTERY,OF AN UNBORN CHILD,08B,1
2022-04,0265,CRIMINAL SEXUAL ASSAULT,AGGRAVATED - OTHER,02,11
2022-02,041A,BATTERY,AGGRAVATED - HANDGUN,04B,100
2022-04,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,320
2023-04,3960,INTIMIDATION,INTIMIDATION,08A,4
2023-10,1140,DECEPTIVE PRACTICE,EMBEZZLEMENT,12,4
2019-01,1562,SEX OFFENSE,AGGRAVATED CRIMINAL SEXUAL ABUSE,17,8
2022-07,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,11,90
2015-08,2027,NARCOTICS,POSS: CRACK,18,181
2019-11,041A,BATTERY,AGGRAVATED - HANDGUN,04B,54
2023-04,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,03,70
2018-01,031A,ROBBERY,ARMED - HANDGUN,03,10
2024-02,1020,ARSON,BY FIRE,09,2
2024-02,2028,NARCOTICS,POSSESS - SYNTHETIC DRUGS,18,1
2014-01,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,02,4
2020-09,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,15,496
2020-04,1563,SEX OFFENSE,CRIMINAL SEXUAL ABUSE,17,10
2002-01,1310,CRIMINAL DAMAGE,TO PROPERTY,14,2167
2004-06,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,17,39
2011-04,1152,DECEPTIVE PRACTICE,ILLEGAL USE CASH CARD,11,234
2004-01,1753,OFFENSE INVOLVING CHILDREN,SEX ASSLT OF CHILD BY FAM MBR,02,13
2008-01,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,17,4
2008-01,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,11,53
2015-08,0860,THEFT,RETAIL THEFT,06,753
